Sample.name	Condition	Bio.Rep
Intensity.Point1_1	Point1	1
Intensity.Point1_2	Point1	2
Intensity.Point1_3	Point1	3
Intensity.Point2_1	Point2	4
Intensity.Point2_2	Point2	5
Intensity.Point2_3	Point2	6
Intensity.Point3_1	Point3	7
Intensity.Point3_2	Point3	8
Intensity.Point3_3	Point3	9
Intensity.Point4_1	Point4	10
Intensity.Point4_2	Point4	11
Intensity.Point4_3	Point4	12
Intensity.Point5_1	Point5	13
Intensity.Point5_2	Point5	14
Intensity.Point5_3	Point5	15
Intensity.Point6_1	Point6	16
Intensity.Point6_2	Point6	17
Intensity.Point6_3	Point6	18
Intensity.Point7_1	Point7	19
Intensity.Point7_2	Point7	20
Intensity.Point7_3	Point7	21
